title,short_description,sub_category,source_url,author,category,website,scraped_at
derailed,"1951 – A train derailed while crossing a temporary wooden trestle in Woodbridge, New Jersey, causing 85 deaths.",On This Day,https://en.wikipedia.org/wiki/Woodbridge_train_derailment,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195545
had paid out approximately US$3 million in bribes,1976 – Lockheed Corporation president Carl Kotchian admitted that the company had paid out approximately US$3 million in bribes to the office of Japanese prime minister Kakuei Tanaka.,On This Day,https://en.wikipedia.org/wiki/Lockheed_bribery_scandals,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195564
Pierre André Latreille,Pierre André Latreille (d. 1833),On This Day,https://en.wikipedia.org/wiki/Pierre_Andr%C3%A9_Latreille,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195586
Maria Mies,Maria Mies (b. 1931),On This Day,https://en.wikipedia.org/wiki/Maria_Mies,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195602
Juan Sartori,Juan Sartori (b. 1981),On This Day,https://en.wikipedia.org/wiki/Juan_Sartori,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195617
Gary Moore,Gary Moore (d. 2011),On This Day,https://en.wikipedia.org/wiki/Gary_Moore,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195632
February 6,February 6,On This Day,https://en.wikipedia.org/wiki/February_6,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195646
Archive,Archive,On This Day,https://en.wikipedia.org/wiki/Wikipedia:Selected_anniversaries/February,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195660
By email,By email,On This Day,https://en.wikipedia.orghttps://lists.wikimedia.org/postorius/lists/daily-article-l.lists.wikimedia.org/,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195675
List of days of the year,List of days of the year,On This Day,https://en.wikipedia.org/wiki/List_of_days_of_the_year,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195689
About,About,On This Day,https://en.wikipedia.org/wiki/Wikipedia:Selected_anniversaries,Wikipedia Contributors,Biography,https://en.wikipedia.org/wiki/Main_Page,2026-02-06T10:48:59.195705
